Date,Value
1900-01-01,52.78603185426569
1901-01-01,55.59492186081342
1902-01-01,51.21048781512956
1903-01-01,56.354577724744146
1904-01-01,51.93489129350905
1905-01-01,50.44956998401969
1906-01-01,49.704004176145375
1907-01-01,47.811733041112475
1908-01-01,50.565708758224055
1909-01-01,48.20049629695464
1910-01-01,54.742633087113305
1911-01-01,50.16293413005566
1912-01-01,51.25761843551444
1913-01-01,50.45655987267391
1914-01-01,50.57118199547247
1915-01-01,53.800004052304615
1916-01-01,50.62643915709029
1917-01-01,52.06882434924985
1918-01-01,49.74822200418985
1919-01-01,49.92391975600682
1920-01-01,54.033985581775774
1921-01-01,51.63204789183958
1922-01-01,48.29318970667308
1923-01-01,53.0094057974088
1924-01-01,50.40267634609282
1925-01-01,52.445544518165114
1926-01-01,51.95367043264939
1927-01-01,55.8639192236662
1928-01-01,50.2777463897779
1929-01-01,54.56084455349067
1930-01-01,51.2131630593137
1931-01-01,48.458020115866944
1932-01-01,56.139411687644625
1933-01-01,53.856279103677366
1934-01-01,52.26559241818758
1935-01-01,55.554846060715775
1936-01-01,54.8153134055011
1937-01-01,48.54836354838334
1938-01-01,52.29558311077754
1939-01-01,49.78716818116966
1940-01-01,52.69632508159259
1941-01-01,54.79338276207256
1942-01-01,50.26037722883682
1943-01-01,54.96893089989368
1944-01-01,52.37038074213595
1945-01-01,54.32212258449541
1946-01-01,50.79440059234864
1947-01-01,49.725511271537506
1948-01-01,53.70382346239899
1949-01-01,52.3933462132222
1950-01-01,49.28829053175114
1951-01-01,50.876155063114034
1952-01-01,53.06350486188979
1953-01-01,56.82923852166882
1954-01-01,53.21343190779628
1955-01-01,48.947686756228094
1956-01-01,56.65532358860998
1957-01-01,52.92259908393817
1958-01-01,51.04755940416021
1959-01-01,56.2985451780602
1960-01-01,53.11798271189399
1961-01-01,53.617812027683776
1962-01-01,57.38939762631551
1963-01-01,50.11448075533447
1964-01-01,52.40408924900098
1965-01-01,49.976517600076775
1966-01-01,51.575781218500566
1967-01-01,53.49105313905871
1968-01-01,50.97040114101902
1969-01-01,52.8157379600884
1970-01-01,55.4656340006319
1971-01-01,50.126984318675994
1972-01-01,54.772499896162806
1973-01-01,48.64041365861742
1974-01-01,54.59936014108358
1975-01-01,54.14565801493721
1976-01-01,52.128331102584525
1977-01-01,52.669617819557814
1978-01-01,57.6122984036572
1979-01-01,51.787223418545445
1980-01-01,52.431263565159036
1981-01-01,54.30116768048725
1982-01-01,55.77592364889338
1983-01-01,57.7343097939699
1984-01-01,51.63861952145802
1985-01-01,50.272255713300794
1986-01-01,53.647524543396756
1987-01-01,55.09915647221408
1988-01-01,55.52630489949179
1989-01-01,56.885940083408514
1990-01-01,53.31559836090559
1991-01-01,51.94692362674255
1992-01-01,54.00407517048644
1993-01-01,54.232231880161784
1994-01-01,49.44414172683439
1995-01-01,53.81656828735117
1996-01-01,51.999579320192424
1997-01-01,54.379337921295615
1998-01-01,51.93287278651602
1999-01-01,51.88696199014606
2000-01-01,55.056751510248915
2001-01-01,57.261805564402906
2002-01-01,49.36792370421314
2003-01-01,55.34574946078563
2004-01-01,60.0
2005-01-01,56.420129481657234
2006-01-01,56.4750904039451
2007-01-01,54.11291534145921
2008-01-01,51.719121660814835
2009-01-01,52.78708411342128
2010-01-01,55.47841934445939
2011-01-01,52.618446573964555
2012-01-01,54.36956216387218
2013-01-01,52.20694287129697
2014-01-01,53.298789204882084
2015-01-01,52.58895462093869
2016-01-01,52.853743158398906
2017-01-01,58.99376671212767
2018-01-01,49.999396298838924
2019-01-01,53.740077072657556
2020-01-01,52.04285386093425
